location,scenario,mae,rmse,mape,r2
Baron,S7,0.13075651017517392,0.18320462397134354,4.470697404365424,0.9814143393818691
Pandeglang,S4,0.1418189147977513,0.19514009907356006,3.589442545340591,0.990619758406969
Bawean,S4,0.12122727588186853,0.17010258293672692,3.941592182072487,0.9926551015655145
Situbondo,S7,0.11133722284865918,0.15500518935968355,5.441173339649491,0.9721593761244784
Sukabumi,S7,0.14884625902413534,0.20843846846366706,4.704795206612243,0.9807736703277029
